"Food","FCDB Food ID","Serving Size or CSM","Serving Size Unit","Quantity per 100 g","Nutrient Unit","Quantity per serve","Nutrient Unit","%DI Per Serve"
"Kahawai, fillet, flesh, fresh, crumbed, pan-fried with canola oil","K1060","100","g","0.6","g","0.6","g",""
"Bread, Gluten Free White, Bürgen®","A1098","80","g","0.7","g","0.6","g",""
"Pasta, fresh, fettuccine, herb & garlic, cooked","E56","148","g","0.4","g","0.6","g",""
"Brussels sprout, raw","X1093","80","g","0.7","g","0.6","g",""
"Parsnip, flesh, raw","X1097","80","g","0.7","g","0.6","g",""
"Parsnip, boiled, drained, no salt added","X1099","80","g","0.7","g","0.6","g",""
"Cake, gingerbread, baked","R10033","75","g","0.8","g","0.6","g",""
"Ice cream, Paddle Pop®, assorted flavours","F114","88","g","0.7","g","0.6","g",""
"Wheat bran","E111","63","g","0.9","g","0.6","g",""
"Rice, brown, regular, assorted grains, raw, dry","E1079","190","g","0.3","g","0.6","g",""
"Noodle, wheat, instant, oriental flavour, prepared with water","E49","245","g","0.2","g","0.6","g",""
"Noodle, wheat, instant chicken flavour, prepared with water","E50","245","g","0.2","g","0.6","g",""
"Parsnip, flesh, steamed","X1101","80","g","0.8","g","0.6","g",""
"Muesli bar, fruit & nut","U28","45","g","1.4","g","0.6","g",""
"Toffees, mixed","W26","10","g","6.2","g","0.6","g",""
"Ice cream, chocolate, standard","F1070","75","g","0.8","g","0.6","g",""
"Corn snack, extruded, assorted shapes, cheese flavour, salted","U1017","30","g","2.1","g","0.6","g",""
"Beer, high-strength, >5% alcohol by volume","B1015","330","mL","0.2","g","0.6","g",""
"Nut bar, peanut & chocolate, Choc Peanut, Tasti","U1011","38","g","1.7","g","0.6","g",""
"Biscuit, Cabin, hard, Pacific Island","A82","40","g","1.6","g","0.6","g",""
"Seed bar, sesame seeds with sugar, gluten-free, original","U10016","9","g","7.1","g","0.6","g",""
"Wheat bran, South Island","E85","51","g","1.3","g","0.6","g",""
"Burger, Big Mac®, McDonald's®","H8","202","g","0.3","g","0.6","g",""
"Scroggin Clusters, Apricot & Nut, Vogel's®, fortified vitamins E & folate","U1003","40","g","1.2","g","0.5","g",""
"Snack bar, puffed rice-based (Rice Bubbles®), with sugar added","U10022","21","g","2.2","g","0.5","g",""
"Muesli bar, fruit filled, wholemeal, assorted flavours","U70","50","g","0.9","g","0.5","g",""
"Barley, whole grain flakes, raw","E2","45","g","1.1","g","0.5","g",""
"Ice cream, vanilla, low fat","F122","75","g","0.6","g","0.5","g",""
"Pudding, sponge, fruit, steamed","R10029","95","g","0.5","g","0.5","g",""
"Flour, rice, brown","E1082","150","g","0.3","g","0.5","g",""
"Ginger, preserved","X1030","15","g","3.2","g","0.5","g",""
"Snack bar, puffed rice-based, with regular sugar, plain","U10002","21","g","2.3","g","0.5","g",""
"Nut bar, peanut & chocolate, Chocolate Nut Bar Original, Nice & Natural™","U1010","33","g","1.5","g","0.5","g",""
"Biscuit, Double Deck Dark Chocolate Delight, Chit Chat™, Griffin's™","A1072","38","g","1.3","g","0.5","g",""
"Wheat germ","E112","98","g","0.5","g","0.5","g",""
"Sweet, hard, boiled","W1","10","g","4.9","g","0.5","g",""
"Pastry, short, butter, raw","R10001","50","g","1.0","g","0.5","g",""
"Muesli bar, chocolate coated, bite size, Snacker","U22","15","g","3.4","g","0.5","g",""
"Noodle, wheat flour, instant, boiled in unsalted water, without added flavour sachet, undrained","E10017","253","g","0.2","g","0.5","g",""
"Fruit roll, strawberry, Uncle Tobys®","U23","21","g","2.4","g","0.5","g",""
"Ice cream, creamier, Hokey Pokey","F112","75","g","0.7","g","0.5","g",""
"Guardian®, Kellogg's®, fortified vitamins B1, B2, C & folate, & Fe","D1008","44","g","1.2","g","0.5","g",""
"Brussels sprout, boiled, drained, no salt added","X1094","80","g","0.7","g","0.5","g",""
"Weet-Bix™ Oat Bran, Sanitarium™, fortified vitamins E & folate","D1012","45","g","1.2","g","0.5","g",""
"Bread, Rewena (Māori bread), from potato and wheat flour","A10001","50","g","1.1","g","0.5","g",""
"Pasta, wholemeal wheat flour, precooked, sheet, dried","E1073","20","g","2.6","g","0.5","g",""
"Fruit candy, pineapple, chocolate coated","W36","16","g","3.3","g","0.5","g",""
"Fruit drink, pineapple & mango, Golden Circle™, fortified","C126","250","mL","0.2","g","0.5","g",""
"Fruit drink, tropical punch, Golden Circle™, fortified vitamin C","C127","250","mL","0.2","g","0.5","g",""
"Almond milk, sugar-sweetened","C1126","250","mL","0.2","g","0.5","g",""
"Brussels sprout, steamed","X1095","80","g","0.7","g","0.5","g",""
"Toasted Muesli Golden Oats & Fruit, Sanitarium™","D1047","64","g","0.8","g","0.5","g",""
"Cracker, wheat, cheese-flavoured","A134","33","g","1.6","g","0.5","g",""
"Pizza, deluxe cheese, thin crust, Pizza Hut®","H32","171","g","0.3","g","0.5","g",""
"Tuatua, flesh, raw","T24","110","g","0.3","g","0.4","g",""
"Cake, banana, baked, home-made, un-iced","R10021","75","g","0.5","g","0.4","g",""
"Cereal soft bar, whole grain oat-based, with dark chocolate","U10012","38","g","0.9","g","0.4","g",""
"Beer, extra stout","B5","330","mL","0.1","g","0.4","g",""
"Pastry, short, shortening, raw","R10005","50","g","0.7","g","0.4","g",""
"Beer, stout","B9","330","mL","0.1","g","0.4","g",""
"Simply Toasted Muesli Apricot, Hubbards","D1048","50","g","0.7","g","0.4","g",""
"Cracker, rye, Crispbread, Ryvita®","A141","40","g","0.9","g","0.4","g",""
"Pastry, flaky, butter, raw","R10002","50","g","0.8","g","0.4","g",""
"Chocolate, white chocolate, Milky Bar®, Nestlé®","W58","52","g","0.7","g","0.4","g",""
"Pastry, cheese, raw","R10003","50","g","0.8","g","0.4","g",""
"Burger, hamburger, McDonald's®","H7","92","g","0.4","g","0.4","g",""
"Soy milk, So Good™ Lite Soy Milk, Sanitarium™, fortified vitamins A, B1, B2, & B12, Ca, Mg & P","C30","250","mL","0.1","g","0.4","g",""
"Toasted Strawberry and Rhubarb, Sanitarium™","D1054","63","g","0.6","g","0.4","g",""
"Ice cream, vanilla, premium","F29","75","g","0.5","g","0.4","g",""
"Dessert, vanilla, 99% fat free, frozen, WeightWatchers","F76","75","g","0.5","g","0.4","g",""
"Noodle, wheat, Shin Ramyun Noodle Soup Hot & Spicy, Nong Shim, boiled, undrained","E1049","284","g","0.1","g","0.4","g",""
"Tart, jam, baked","R10008","45","g","0.9","g","0.4","g",""
"Cake, Welsh cheesecake, baked","R10010","75","g","0.5","g","0.4","g",""
"Biscuit, Afghan","A148","35","g","1.2","g","0.4","g",""
"Chocolate slab, Caramello, Cadbury","W60","25","g","1.6","g","0.4","g",""
"Pastry, short, butter, baked","R10006","40","g","1.0","g","0.4","g",""
"Biscuit, plain, water","A8","18","g","2.3","g","0.4","g",""
"Cereal bar, mixed cereal-based with chocolate, Original, Kellogg’s® Nutri Grain®","U10006","22","g","1.9","g","0.4","g",""
"Snack bar, puffed rice-based, with regular sugar and high fat, plain","U10019","22","g","1.9","g","0.4","g",""
"Muesli bar, chocolate coated, Wrapps","U33","33","g","1.3","g","0.4","g",""
"Squid, in flour, fried","T23","100","g","0.4","g","0.4","g",""
"Bread, garlic, made with butter, pita, prepacked","A235","28","g","1.5","g","0.4","g",""
"Ice cream, Jelly Tip, Tip Top™","F110","75","g","0.6","g","0.4","g",""
"Ice cream, exquisamint flavoured covered in biscuit crunch, Moritz","F89","97","g","0.5","g","0.4","g",""
"Snack bar, puffed rice-based, with regular sugar and chocolate","U10001","21","g","2.1","g","0.4","g",""
"Biscuit, Macaroons","A73","34","g","1.3","g","0.4","g",""
"Noodle, wheat flour, instant, boiled in unsalted water, without added flavour sachet, drained","E10016","97","g","0.5","g","0.4","g",""
"Flour, from quinoa seed, wholegrain","E1098","120","g","0.2","g","0.3","g",""
"Cereal soft bar, muffin-style, wheat-based, with assorted chocolate filling with added fibre","U10018","20","g","1.3","g","0.3","g",""
"Multigrain chip, assorted flavours, Grainwaves®, Bluebird","U57","30","g","0.8","g","0.3","g",""
"Sausage, assorted meats & flavours, precooked, grilled","N61","70","g","0.4","g","0.3","g",""
"Cereal soft bar, muffin-style, wheat-based, strawberry milkshake filling, with added fibre","U10008","21","g","1.3","g","0.3","g",""
"Honey, manuka","W1018","21","g","1.3","g","0.3","g",""
"Muesli bar, three fruits","U3","32","g","0.8","g","0.3","g",""
"Muesli bar, tropical fruits","U4","32","g","0.8","g","0.3","g",""
"Cracker, wheat, Salada™, Light, Original, Arnott's™","A1030","30","g","0.9","g","0.3","g",""
"Crunchy Nut Clusters®, Kellogg's®, fortified vitamins B1, B2, C & folate, & Fe","D1007","44","g","0.6","g","0.3","g",""
"Savoury, mince, heated","H1004","53","g","0.5","g","0.3","g",""
"Honey, multifloral","W1019","21","g","1.4","g","0.3","g",""
"Soup, oxtail, dry mix, prepared with water","V12","250","mL","0.1","g","0.3","g",""
"Muesli bar","U5","32","g","0.9","g","0.3","g",""
"All Bran® Wheat Flakes, Kellogg's®, fortified vitamins B1, B2 & folate, Fe, Mg & Zn","D1002","40","g","0.7","g","0.3","g",""
"Wheat bran, North Island","E36","47","g","0.6","g","0.3","g",""
"Biscuit, Malt","A64","15","g","2.0","g","0.3","g",""
"Biscuit, Arrowroot","A146","32","g","0.9","g","0.3","g",""
"Muesli bar, spiced apple","U2","32","g","0.9","g","0.3","g",""
"Pasta, wheat flour & spinach, boiled, drained","E63","148","g","0.2","g","0.3","g",""
"Jellybeans, Jaybees, Pascall","W45","12","g","2.6","g","0.3","g",""
"Savoury, mince & cheese, heated","H1005","59","g","0.5","g","0.3","g",""
"Biscuit, oatcake","A7","30","g","1.1","g","0.3","g",""
"Chilli con carne and corn chips","R10636","350","g","0.1","g","0.3","g",""
"Toddy, coconut, fermented","B38","100","mL","0.3","g","0.3","g",""
"Quiche, spinach, baked","R10635","113","g","0.3","g","0.3","g",""
"Muffin, blueberry","A127","60","g","0.5","g","0.3","g",""
"Muffin, chocolate","A128","60","g","0.5","g","0.3","g",""
"Coleslaw, Kentucky Fried Chicken®","H20","100","g","0.3","g","0.3","g",""
"Cereal soft bar, whole grain oat-based, with assorted fruits and white chocolate","U10011","39","g","0.8","g","0.3","g",""
"Pastry, cheese, baked","R10013","40","g","0.8","g","0.3","g",""
"Cheese spread & crispbread, assorted flavours, Uncle Tobys®","U37","22","g","1.5","g","0.3","g",""
"Muesli bar, apricot","U1","32","g","1.1","g","0.3","g",""
"Ice cream, hokey pokey","F111","75","g","0.5","g","0.3","g",""
"Cake, sponge, fat added, baked","R10034","75","g","0.5","g","0.3","g",""
"Cake, sponge, no fat added, baked","R10035","75","g","0.5","g","0.3","g",""
"Pastille, hard candy","W30","10","g","3.5","g","0.3","g",""
"Stuffing, from chicken, deli cooked","A1011","30","g","1.2","g","0.3","g",""
"Puffed Wheat™, Sanitarium™","D1017","30","g","1.2","g","0.3","g",""
"Pastry, flaky, puff, butter, raw","R10007","50","g","0.7","g","0.3","g",""
"Energy food drink, dry powder, Chocolatte Frothy Classic & Extreme Choc, Jarrah","C1038","12","g","1.3","g","0.2","g",""
"Grain, millet","E10014","126","g","0.1","g","0.2","g",""
"Chicken, crumbed, Kentucky Fried Chicken®","H14","140","g","0.1","g","0.2","g",""
"Doughnut, non-chocolate iced","A1144","21","g","0.7","g","0.2","g",""
"Shortbread, home-made, baked","R10032","26","g","0.6","g","0.2","g",""
"Gravy, dry powder mix, assorted flavours, as purchased","S1017","8","g","2.0","g","0.2","g",""
"Biscuit, peanut brownie","A66","44","g","0.4","g","0.2","g",""
"Flour, pea, yellow","E1083","150","g","0.1","g","0.2","g",""
"Flour, pea, green","E1084","150","g","0.1","g","0.2","g",""
"Bread, gluten free & sprouted seeds (<10%), sliced, as purchased","A1185","80","g","0.2","g","0.2","g",""
"Muffin, bran","A129","105","g","0.2","g","0.2","g",""
"Snow pea, fresh, raw","X1195","80","g","0.2","g","0.2","g",""
"Noodle, wheat, instant beef flavour, prepared with water","E48","245","g","0.1","g","0.2","g",""
"Fruit bar & roll, apricot","U31","16","g","1.1","g","0.2","g",""
"Croquette, Kentucky Fried Chicken®","H21","56","g","0.3","g","0.2","g",""
"Kahawai, fillet, flesh, fresh, battered, deep-fried in canola oil","K1056","100","g","0.2","g","0.2","g",""
"Pie, lemon meringue, baked","R10017","75","g","0.2","g","0.2","g",""
"Bread, gluten free & sprouted seeds (<10%), sliced, toasted","A1186","80","g","0.2","g","0.2","g",""
"Froot Loops®, Kellogg's®, fortified vitamins B1, B2, B3, C & folate, Fe & Zn","D1026","40","g","0.5","g","0.2","g",""
"Biscuit, milk chocolate, Wheaten™, Griffin's™","A1075","22","g","0.8","g","0.2","g",""
"Noodle, wheat flour with egg, boiled, drained","E39","169","g","0.1","g","0.2","g",""
"Noodle, wheat flour with egg, fried","E40","169","g","0.1","g","0.2","g",""
"Cereal soft bar, whole grain oat-based","U10027","40","g","0.5","g","0.2","g",""
"Corn chip, assorted flavours, salted, fried in assorted oils","U1016","30","g","0.6","g","0.2","g",""
"Snapper, fillet, flesh, fresh, battered, deep-fried in canola oil","K1040","100","g","0.2","g","0.2","g",""
"Marmalade, assorted citrus fruits, sweetened with sugar","W1022","20","g","0.9","g","0.2","g",""
"Soup, oxtail, dry mix","V11","13","g","1.5","g","0.2","g",""
"Rice, brown, assorted grains, cooked in unsalted water","E1080","150","g","0.1","g","0.2","g",""
"Cake, chocolate, baked, iced with butter icing","R10015","75","g","0.3","g","0.2","g",""
"Snack, popcorn, candied","U18","30","g","0.7","g","0.2","g",""
"Fruit bar & roll, strawberry","U26","16","g","1.3","g","0.2","g",""
"Burger, Quarter Pounder® with cheese, McDonald's®","H10","185","g","0.1","g","0.2","g",""
"Biscuit, milk chocolate, Double Chocolate, Cookies, Ernest Adams®","A1067","27","g","0.8","g","0.2","g",""
"Soup, grains, vegetables & flavour, dry mix, boiled with water","V23","250","mL","0.1","g","0.2","g",""
"Potato, fries, frozen, raw","X95","100","g","0.2","g","0.2","g",""
"Chewing gum","P71","3","g","7.0","g","0.2","g",""
"Sausage, assorted meats & flavours, precooked, dry fried","N60","66","g","0.3","g","0.2","g",""
"Pork, sweet & sour, Chinese, takeaway","H1014","195","g","0.1","g","0.2","g",""
"Sausage, assorted meat & flavours, precooked","N59","70","g","0.3","g","0.2","g",""
"Burger, cheeseburger, McDonald's®","H4","107","g","0.2","g","0.2","g",""
"Topping, chocolate, McDonald's®","H163","15","mL","1.1","g","0.2","g",""
"Soy milk, So Good™ Regular Soy Milk, Sanitarium™, fortified vitamins A, B1, B2, & B12, Ca, Mg & P","C29","250","mL","0.1","g","0.2","g",""
"Pikelet, plain, pan-fried without oil, home-made","R10018","40","g","0.6","g","0.2","g",""
"Cracker, wheat, Supreme, Arnott's™ & Somerset™, Huntley & Palmers™","A139","32","g","0.7","g","0.2","g",""
"Biscuit, Shrewsbury","A65","32","g","0.7","g","0.2","g",""
"Chocolate bar & block, Dairy Milk with Crunchie™, Cadbury®","W1013","25","g","0.9","g","0.2","g",""
"Savoury, bacon & egg, baked","H1003","45","g","0.5","g","0.2","g",""
"Cake, banana, baked, iced with butter icing","R10022","75","g","0.3","g","0.2","g",""
"Biscuit, MallowPuffs™, Griffin's™","A71","22","g","1.1","g","0.2","g",""
"Pancake, plain, pan-fried without oil","R10019","40","g","0.6","g","0.2","g",""
"Cracker, wheat, cream","A136","36","g","0.7","g","0.2","g",""
"Soup, creme of vegetable, instant dry mix, prepared with water, Maggi®","V65","250","mL","0.0","g","0.1","g",""
"Syrup, malt","W69","24","g","0.2","g","0.1","g",""
"Cake, Eccles, baked","R10031","13","g","0.4","g","0.1","g",""
"Soup, tomato, instant dry mix, prepared with water, Continental®","V55","250","mL","0.0","g","0.1","g",""
"Fish, fingers, baked","H61","25","g","0.2","g","0.1","g",""
"Fish, fingers, microwaved","H63","25","g","0.2","g","0.1","g",""
"Fish, fingers, deep-fried in peanut oil","H65","25","g","0.2","g","0.1","g",""
"Bread mix, gluten free, Simple Baking Mix, Healtheries®, fortified vitamins B1 and folate","A1016","34","g","0.2","g","0.1","g",""
"Potato straw, salt and vinegar","U11","50","g","0.1","g","0.1","g",""
"Soup, beef & noodles, instant dry mix","V24","30","g","0.2","g","0.1","g",""
"Pear, flesh & skin, raw","L1015","122","g","0.1","g","0.1","g",""
"Biscuit, flat fruit","A68","24","g","0.3","g","0.1","g",""
"Soup, minestrone, instant dry mix","V7","20","g","0.3","g","0.1","g",""
"Savoury, potato top, heated","H1006","59","g","0.1","g","0.1","g",""
"Oat bran","E23","60","g","0.1","g","0.1","g",""
"Oyster, Dredge, canned","T7","60","g","0.1","g","0.1","g",""
"Beer, mid-strength, 4% alcohol by volume","B1017","330","mL","0.0","g","0.1","g",""
"Beer, low-strength, 2.5% alcohol by volume","B1018","330","mL","0.0","g","0.1","g",""
"Soup, mushroom, instant dry mix","V22","12","g","0.6","g","0.1","g",""
"Wafer, ice cream cone","U1006","35","g","0.2","g","0.1","g",""
"Soup, chicken noodle, instant dry mix, Cup-a-Soup Lots-a-Noodles, Continental®","V25","30","g","0.2","g","0.1","g",""
"Soup, beef, instant dry mix, prepared with water, Continental®","V57","250","mL","0.0","g","0.1","g",""
"Soup, mushroom, instant dry mix, prepared with water, Maggi®","V66","250","mL","0.0","g","0.1","g",""
"Biscuit, with cream filling","A9","30","g","0.3","g","0.1","g",""
"Stuffing, Kentucky Fried Chicken®","H53","13","g","0.6","g","0.1","g",""
"Soup, beef & noodles, instant dry mix, prepared with water","V53","250","mL","0.0","g","0.1","g",""
"Bread, banana, white, loaf, as purchased","A1195","75","g","0.1","g","0.1","g",""
"Bread, banana, white, sliced, toasted","A1196","75","g","0.1","g","0.1","g",""
"Chicken, crumbed, rib, fried, Kentucky Fried Chicken®","H15","75","g","0.1","g","0.1","g",""
"Cassava, baked in traditional Papua New Guinea oven","X237","80","g","0.1","g","0.1","g",""
"Biscuit, chocolate cream","A67","34","g","0.3","g","0.1","g",""
"Biscuit, Squiggles™, Griffin's™","A76","35","g","0.3","g","0.1","g",""
"Chicken, crumbed, breast, deep fried, Kentucky Fried Chicken®","H17","89","g","0.1","g","0.1","g",""
"Beer, full-strength, 5% alcohol by volume","B1016","330","mL","0.0","g","0.1","g",""
"Pasta, wheat flour with vegetable flavours, boiled, drained","E119","114","g","0.1","g","0.1","g",""
